first_name,last_name, wiki,
Al,Franken,https://en.wikipedia.org/wiki/Al_Franken,
Alex,Padilla,https://en.wikipedia.org/wiki/Alex_Padilla,
Amy,Klobuchar,https://en.wikipedia.org/wiki/Amy_Klobuchar,
Angus,King,https://en.wikipedia.org/wiki/Angus_King,
Barbara,Boxer,https://en.wikipedia.org/wiki/Barbara_Boxer,
Barbara,Mikulski,https://en.wikipedia.org/wiki/Barbara_Mikulski,
Ben,Cardin,https://en.wikipedia.org/wiki/Ben_Cardin,
Ben,Luj√°n,https://en.wikipedia.org/wiki/Ben_Ray_Luj%C3%A1n,
Ben,Sasse,https://en.wikipedia.org/wiki/Ben_Sasse,
Bernie,Sanders,https://en.wikipedia.org/wiki/Bernie_Sanders,
Bill,Cassidy,https://en.wikipedia.org/wiki/Bill_Cassidy,
Bill,Hagerty,https://en.wikipedia.org/wiki/Bill_Hagerty,
Bill,Nelson,https://en.wikipedia.org/wiki/Bill_Nelson,
Bob,Corker,https://en.wikipedia.org/wiki/Bob_Corker,
Bob,Jr,https://en.wikipedia.org/wiki/Bob_Casey_Jr.,
Bob,Jr.,https://en.wikipedia.org/wiki/Bob_Casey_Jr.,
Bob,Menendez,https://en.wikipedia.org/wiki/Bob_Menendez,
Brian,Schatz,https://en.wikipedia.org/wiki/Brian_Schatz,
Catherine,Masto,https://en.wikipedia.org/wiki/Catherine_Cortez_Masto,
Chris,Coons,https://en.wikipedia.org/wiki/Chris_Coons,
Chris,Hollen,https://en.wikipedia.org/wiki/Chris_Van_Hollen,
Chris,Murphy,https://en.wikipedia.org/wiki/Chris_Murphy,
Chuck,Grassley,https://en.wikipedia.org/wiki/Chuck_Grassley,
Chuck,Schumer,https://en.wikipedia.org/wiki/Chuck_Schumer,
Cindy,Hyde-Smith,https://en.wikipedia.org/wiki/Cindy_Hyde-Smith,
Claire,McCaskill,https://en.wikipedia.org/wiki/Claire_McCaskill,
Cory,Booker,https://en.wikipedia.org/wiki/Cory_Booker,
Cory,Gardner,https://en.wikipedia.org/wiki/Cory_Gardner,
Cynthia,Lummis,https://en.wikipedia.org/wiki/Cynthia_Lummis,
Dan,Coats,https://en.wikipedia.org/wiki/Dan_Coats,
Dan,Sullivan,https://en.wikipedia.org/wiki/Dan_Sullivan_(U.S._Senator),
David,Perdue,https://en.wikipedia.org/wiki/David_Perdue,
David,Vitter,https://en.wikipedia.org/wiki/David_Vitter,
Dean,Heller,https://en.wikipedia.org/wiki/Dean_Heller,
Deb,Fischer,https://en.wikipedia.org/wiki/Deb_Fischer,
Debbie,Stabenow,https://en.wikipedia.org/wiki/Debbie_Stabenow,
Dianne,Feinstein,https://en.wikipedia.org/wiki/Dianne_Feinstein,
Dick,Durbin,https://en.wikipedia.org/wiki/Dick_Durbin,
Doug,Jones,https://en.wikipedia.org/wiki/Doug_Jones_(politician),
Ed,Markey,https://en.wikipedia.org/wiki/Ed_Markey,
Elizabeth,Warren,https://en.wikipedia.org/wiki/Elizabeth_Warren,
Eric,Schmitt,https://en.wikipedia.org/wiki/Eric_S._Schmitt,
Gary,Peters,https://en.wikipedia.org/wiki/Gary_Peters,
Harry,Reid,https://en.wikipedia.org/wiki/Harry_Reid,
Heidi,Heitkamp,https://en.wikipedia.org/wiki/Heidi_Heitkamp,
J.,Vance,https://en.wikipedia.org/wiki/J._D._Vance,
Jack,Reed,https://en.wikipedia.org/wiki/Jack_Re,
Jacky,Rosen, https://en.wikipedia.org/wiki/Jacky_Rosen,
James,Lankford, https://en.wikipedia.org/wiki/James_Lankford,
Jeanne,Shaheen, https://en.wikipedia.org/wiki/Jeanne_Shaheen,
Jeff,Flake, https://en.wikipedia.org/wiki/Jeff_Flake,
Jeff,Merkley, https://en.wikipedia.org/wiki/Jeff_Merkley,
Jeff,Sessions, https://en.wikipedia.org/wiki/Jeff_Sessions,
Jerry,Moran, https://en.wikipedia.org/wiki/Jerry_Moran,
Jim,Inhofe, https://en.wikipedia.org/wiki/Jim_Inhofe,
Jim,Risch, https://en.wikipedia.org/wiki/Jim_Risch,
Joe,Donnelly, https://en.wikipedia.org/wiki/Joe_Donnelly,
Joe,Manchin, https://en.wikipedia.org/wiki/Joe_Manchin,
John,Barrasso, https://en.wikipedia.org/wiki/John_Barrasso,
