"first_name","last_name","bioguide_id"
Tom,Cotton,C001095
Todd,Young,Y000064
Tina,Smith,S001203
Tim,Scott,S001184
Tammy,Baldwin,B001230
Tammy,Duckworth,D000622
Steve,Daines,D000618
Sherrod,Brown,B000944
Sheldon,Whitehouse,W000802
Roy,Blunt,B000575
Ron,Johnson,J000293
Ron,Wyden,W000779
Rick,Scott,S001217
Raphael,Warnock,W000790
Rand,Paul,P000603
Patty,Murray,M001111
Pat,Roberts,R000307
Mike,Braun,B001310
Mike,Rounds,R000605
Martin,Heinrich,H001046
Marsha,Blackburn,B001243
Maria,Cantwell,C000127
Marco,Rubio,R000595
Maggie,Hassan,H001076
Lindsey,Graham,G000359
Lamar,Alexander,A000360
Kyrsten,Sinema,S001191
Kelly,Loeffler,L000594
Katie,Britt,B001319
Johnny,Isakson,I000055
John,Cornyn,C001056
John,Fetterman,F000479
John,Hoeven,H001061
Jeanne,Shaheen,S001181
Eric,Schmitt,S001227
Elizabeth,Warren,W000817
Doug,Jones,J000300
Debbie,Stabenow,S000770
Cory,Gardner,G000562
Cindy,Hyde-Smith,H001079
Timothy M,Kaine,K000384
Thomas R,Tillis,T000476
TOM S,UDALL,U000039
Amy  J,Klobuchar,K000367
Amy J,Klobuchar,K000367
BENJAMIN E,SASSE,S001197
BENJAMIN L,CARDIN,C000141
BENJAMIN L ,CARDIN,C000141
BRIAN E,SCHATZ,S001194
Benjamin L,Cardin,C000141
Brian E,Schatz,S001194
CHRIS ,VAN HOLLEN,V000128
CHRISTOPHER,MURPHY,M001169
CORY A,BOOKER,B001288
Catherine,Cortez Masto,C001113
Catherine ,Cortez Masto,C001113
Christopher,Murphy,M001169
Cory A,Booker,B001288
Cynthia M,Lummis,L000571
DAVID,PERDUE,P000612
DAVID ,PERDUE,P000612
DEBRA S,FISCHER,F000463
DIANNE ,FEINSTEIN,F000062
Daniel S,Sullivan,S001198
David A,"Perdue , Jr",P000612
Deb S,Fischer,F000463
EDWARD J,MARKEY,M000133
ELIZABETH ,WARREN,W000817
Gary C,Peters,P000595
JEANNE ,SHAHEEN,S001181
JEFFREY A ,MERKLEY,M001176
JERRY,MORAN,M000934
JOHN,CORNYN,C001056
JOHN ,BOOZMAN,B001236
JOHN A,BARRASSO,B001261
JOHN N,BOOZMAN,B001236
JOHN R,THUNE,T000250
JON,TESTER,T000464
JONI,ERNST,E000295
JONI K,ERNST,E000295
Jeffrey A,Merkley,M001176
Jerry,"Moran,  ",M000934
John A,Barrasso,B001261
John N,Kennedy,K000393
John W,Hickenlooper,H000273
Joni K,Ernst,E000295
Joshua D,Hawley,H001089
Kamala  D,Harris ,H001075
Kamala D,Harris,H001075
Kevin J,Cramer,C001096
Kirsten E,Gillibrand,G000555
LINDSEY O,GRAHAM,G000359
LISA A,MURKOWSKI,M001153
Ladda Tammy,Duckworth,D000622
Lisa A,Murkowski,Murkowski
MARCO A ,RUBIO,R000595
MARIA ,CANTWELL,C000127
MARIA E,CANTWELL,C000127
MARK R,WARNER,W000805
MAZIE,HIRONO,H001042
MAZIE K,HIRONO,H001042
MICHAEL F ,BENNET,B001267
MIKE,ROUNDS,R000605
MIKE ,ROUNDS,R000605
MITCH,MCCONNELL,M000355
Mark E,Kelly,K000377
Mark R,Warner,W000805
Martha E,McSally,M001197
Mazie K,Hirono,H001042
Mitchell A,McConnell,M000355
PAT,ROBERTS,R000307
PAT ,ROBERTS,R000307
PATRICK,LEAHY,L000174
PATTY L,MURRAY,M001111
Patrick  J,Leahy,L000174
Patrick J,Leahy,L000174
Patrick J,Toomey,T000461
RAND,PAUL,P000603
RAND ,PAUL,P000603
RICHARD,BLUMENTHAL,B001277
RICHARD ,BLUMENTHAL,B001277
RICHARD C,SHELBY,S000320
RICHARD M,BURR,B001135
ROGER F,WICKER,W000437
RON ,JOHNSON,J000293
RON L,WYDEN,W000779
RONALD L,WYDEN,W000779
ROY D,BLUNT,"B000575
"
Richard C,Shelby,S000320
Roger F,Wicker,W000437
Roger W,Marshall,M001198
Ron L,Wyden,W000779
SHELDON,WHITEHOUSE,W000802
SHERROD,BROWN,B000944
Shelley M,Capito,C001047
Susan M,Collins,C001035
TAMMY,BALDWIN,B001230
THOMAS R,TILLIS,T000476
TIM,SCOTT,S001184
TIMOTHY M,KAINE,K000384
Alex,Padilla,P000145
W. Mitt,Romney,R000615
TOM ,COTTON,C001095
A. Mitchell,"McConnell, Jr.",M000355
AMY J,KLOBUCHAR,K000367
ANDREW LAMAR,ALEXANDER,A000360
ANGUS S,KING,K000383
Angus S,"King, Jr.",K000383
Benjamin E,Sasse,S001197
CHRISTOPHER A,COONS,C001088
Christopher A,Coons,C001088
DIANNE,FEINSTEIN,F000062
Debra S,Fischer,F000463
JEANNE,SHAHEEN,S001181
JOHN,HOEVEN,H001061
JOHN A ,BARRASSO,B001261
James P,Lankford,L000575
John R,Thune,T000250
KIRSTEN E,GILLIBRAND,G000555
LAMAR ,ALEXANDER,A000360
MARCO ,RUBIO,R000595
MARTIN,HEINRICH,H001046
MICHAEL F,BENNET,B001267
MITCHELL A,MCCONNELL,M000355
Michael F,Bennet,B001267
PATRICK J,TOOMEY,T000461
RAFAEL EDWARD (TED),CRUZ,C001098
ROBERT J,PORTMAN,P000449
ROY ,BLUNT,"B000575
"
Robert J,Portman,P000449
SUSAN M,COLLINS,C001035
TAMMY ,BALDWIN,B001230
